A,AB,B,O,dept_code,dept_name,pdept_code,trans_dt,dow,day,month,year,week,hol_dur,hol_lower,hol_upper,TOTAL
10.0,0.0,13.5,0.0,4103,tbd,4103,2013-01-21,0,21,1,2013,4,,,,23.5
14.0,0.0,0.0,3.0,4103,tbd,4103,2013-01-22,1,22,1,2013,4,,,,17.0
2.0,0.0,10.0,4.0,4103,tbd,4103,2013-01-23,2,23,1,2013,4,,,,16.0
6.0,2.0,12.0,10.0,4103,tbd,4103,2013-01-24,3,24,1,2013,4,,,,30.0
2.0,2.0,0.0,7.0,4103,tbd,4103,2013-01-25,4,25,1,2013,4,,,,11.0
0.0,0.0,9.0,12.0,4103,tbd,4103,2013-01-26,5,26,1,2013,4,,,,21.0
0.0,0.0,4.5,4.0,4103,tbd,4103,2013-01-27,6,27,1,2013,4,,,,8.5
0.0,4.0,11.0,0.0,4103,tbd,4103,2013-01-28,0,28,1,2013,5,,,,15.0
0.0,2.0,2.0,9.0,4103,tbd,4103,2013-01-29,1,29,1,2013,5,,,,13.0
10.0,2.0,0.0,4.0,4103,tbd,4103,2013-01-30,2,30,1,2013,5,,,,16.0
4.0,8.0,0.0,2.0,4103,tbd,4103,2013-01-31,3,31,1,2013,5,,,,14.0
18.0,0.0,8.0,23.0,4103,tbd,4103,2013-02-01,4,1,2,2013,5,,,,49.0
12.0,0.0,7.0,5.0,4103,tbd,4103,2013-02-02,5,2,2,2013,5,,,,24.0
6.0,0.0,2.0,0.0,4103,tbd,4103,2013-02-03,6,3,2,2013,5,,,,8.0
4.0,0.0,6.0,4.0,4103,tbd,4103,2013-02-04,0,4,2,2013,6,,,,14.0
8.0,4.0,4.0,4.0,4103,tbd,4103,2013-02-05,1,5,2,2013,6,,,,20.0
6.0,2.0,1.0,17.0,4103,tbd,4103,2013-02-06,2,6,2,2013,6,,,,26.0
8.0,0.0,3.5,13.5,4103,tbd,4103,2013-02-07,3,7,2,2013,6,,,,25.0
2.0,0.0,6.0,13.5,4103,tbd,4103,2013-02-08,4,8,2,2013,6,,,,21.5
4.0,0.0,10.0,6.0,4103,tbd,4103,2013-02-09,5,9,2,2013,6,7.0,-2.0,2.0,20.0
4.0,6.0,10.0,2.0,4103,tbd,4103,2013-02-10,6,10,2,2013,6,7.0,-2.0,2.0,22.0
2.0,4.0,6.0,2.0,4103,tbd,4103,2013-02-11,0,11,2,2013,7,7.0,-2.0,2.0,14.0
0.0,6.0,2.0,14.0,4103,tbd,4103,2013-02-12,1,12,2,2013,7,7.0,-2.0,2.0,22.0
4.0,8.0,0.0,2.0,4103,tbd,4103,2013-02-13,2,13,2,2013,7,7.0,-2.0,2.0,14.0
2.0,0.0,11.0,2.0,4103,tbd,4103,2013-02-14,3,14,2,2013,7,7.0,-2.0,2.0,15.0
4.0,0.0,4.0,2.0,4103,tbd,4103,2013-02-15,4,15,2,2013,7,7.0,-2.0,2.0,10.0
0.0,0.0,4.0,6.0,4103,tbd,4103,2013-02-16,5,16,2,2013,7,,,,10.0
3.5,0.0,0.0,7.0,4103,tbd,4103,2013-02-17,6,17,2,2013,7,,,,10.5
1.5,0.0,2.0,2.0,4103,tbd,4103,2013-02-18,0,18,2,2013,8,,,,5.5
3.5,0.0,4.0,0.0,4103,tbd,4103,2013-02-19,1,19,2,2013,8,,,,7.5
8.0,0.0,10.0,4.0,4103,tbd,4103,2013-02-20,2,20,2,2013,8,,,,22.0
4.0,3.5,10.0,0.0,4103,tbd,4103,2013-02-21,3,21,2,2013,8,,,,17.5
8.5,1.5,2.0,12.0,4103,tbd,4103,2013-02-22,4,22,2,2013,8,,,,24.0
5.5,0.0,10.5,6.5,4103,tbd,4103,2013-02-23,5,23,2,2013,8,,,,22.5
4.0,0.0,5.0,4.0,4103,tbd,4103,2013-02-24,6,24,2,2013,8,,,,13.0
2.0,0.0,4.0,10.0,4103,tbd,4103,2013-02-25,0,25,2,2013,9,,,,16.0
6.0,0.0,2.0,9.0,4103,tbd,4103,2013-02-26,1,26,2,2013,9,,,,17.0
2.0,0.0,9.0,0.0,4103,tbd,4103,2013-02-27,2,27,2,2013,9,,,,11.0
4.0,0.0,0.0,2.0,4103,tbd,4103,2013-02-28,3,28,2,2013,9,,,,6.0
14.0,4.0,1.0,0.0,4103,tbd,4103,2013-03-01,4,1,3,2013,9,,,,19.0
8.0,2.0,7.0,0.0,4103,tbd,4103,2013-03-02,5,2,3,2013,9,,,,17.0
0.0,0.0,0.0,4.0,4103,tbd,4103,2013-03-03,6,3,3,2013,9,,,,4.0
10.0,0.0,0.0,6.0,4103,tbd,4103,2013-03-04,0,4,3,2013,10,,,,16.0
0.0,4.0,4.0,8.0,4103,tbd,4103,2013-03-05,1,5,3,2013,10,,,,16.0
14.0,0.0,0.0,2.0,4103,tbd,4103,2013-03-06,2,6,3,2013,10,,,,16.0
2.0,12.0,6.0,3.0,4103,tbd,4103,2013-03-07,3,7,3,2013,10,,,,23.0
0.0,0.0,10.0,15.0,4103,tbd,4103,2013-03-08,4,8,3,2013,10,,,,25.0
5.5,0.0,10.0,4.0,4103,tbd,4103,2013-03-09,5,9,3,2013,10,,,,19.5
8.0,0.0,4.0,4.0,4103,tbd,4103,2013-03-10,6,10,3,2013,10,,,,16.0
5.5,4.0,5.0,8.0,4103,tbd,4103,2013-03-11,0,11,3,2013,11,,,,22.5
5.5,12.0,6.5,4.0,4103,tbd,4103,2013-03-12,1,12,3,2013,11,,,,28.0
5.5,8.0,4.0,8.0,4103,tbd,4103,2013-03-13,2,13,3,2013,11,,,,25.5
2.0,0.0,0.0,9.0,4103,tbd,4103,2013-03-14,3,14,3,2013,11,,,,11.0
2.0,0.0,7.0,9.0,4103,tbd,4103,2013-03-15,4,15,3,2013,11,,,,18.0
28.0,0.0,8.0,4.0,4103,tbd,4103,2013-03-16,5,16,3,2013,11,,,,40.0
14.0,2.0,6.0,12.0,4103,tbd,4103,2013-03-17,6,17,3,2013,11,,,,34.0
8.0,4.0,6.0,10.0,4103,tbd,4103,2013-03-18,0,18,3,2013,12,,,,28.0
4.0,4.0,2.0,15.0,4103,tbd,4103,2013-03-19,1,19,3,2013,12,,,,25.0
8.0,0.0,6.0,4.0,4103,tbd,4103,2013-03-20,2,20,3,2013,12,,,,18.0
9.0,6.0,13.0,6.0,4103,tbd,4103,2013-03-21,3,21,3,2013,12,,,,34.0
9.0,0.0,11.0,4.0,4103,tbd,4103,2013-03-22,4,22,3,2013,12,,,,24.0
4.0,4.0,8.0,3.0,4103,tbd,4103,2013-03-23,5,23,3,2013,12,,,,19.0
10.0,0.0,10.0,4.0,4103,tbd,4103,2013-03-24,6,24,3,2013,12,,,,24.0
10.0,0.0,2.0,10.0,4103,tbd,4103,2013-03-25,0,25,3,2013,13,,,,22.0
8.0,0.0,0.0,2.0,4103,tbd,4103,2013-03-26,1,26,3,2013,13,,,,10.0
14.0,2.0,2.0,8.0,4103,tbd,4103,2013-03-27,2,27,3,2013,13,,,,26.0
2.0,0.0,10.0,4.0,4103,tbd,4103,2013-03-28,3,28,3,2013,13,,,,16.0
4.0,0.0,10.0,8.0,4103,tbd,4103,2013-03-29,4,29,3,2013,13,,,,22.0
6.0,8.0,0.0,3.0,4103,tbd,4103,2013-03-30,5,30,3,2013,13,,,,17.0
2.0,0.0,2.0,4.0,4103,tbd,4103,2013-03-31,6,31,3,2013,13,,,,8.0
6.0,0.0,2.0,6.0,4103,tbd,4103,2013-04-01,0,1,4,2013,14,,,,14.0
7.0,2.0,4.0,4.0,4103,tbd,4103,2013-04-02,1,2,4,2013,14,,,,17.0
8.0,2.0,5.0,0.0,4103,tbd,4103,2013-04-03,2,3,4,2013,14,,,,15.0
10.0,4.0,4.0,0.0,4103,tbd,4103,2013-04-04,3,4,4,2013,14,3.0,-1.0,1.0,18.0
6.0,0.0,16.0,10.0,4103,tbd,4103,2013-04-05,4,5,4,2013,14,3.0,-1.0,1.0,32.0
2.0,0.0,8.0,0.0,4103,tbd,4103,2013-04-06,5,6,4,2013,14,3.0,-1.0,1.0,10.0
4.0,1.0,6.0,11.0,4103,tbd,4103,2013-04-07,6,7,4,2013,14,,,,22.0
13.0,0.0,2.0,13.0,4103,tbd,4103,2013-04-08,0,8,4,2013,15,,,,28.0
10.0,1.0,6.0,14.0,4103,tbd,4103,2013-04-09,1,9,4,2013,15,,,,31.0
4.0,0.0,9.5,12.5,4103,tbd,4103,2013-04-10,2,10,4,2013,15,,,,26.0
8.0,3.0,6.0,7.5,4103,tbd,4103,2013-04-11,3,11,4,2013,15,,,,24.5
4.0,0.0,6.0,2.0,4103,tbd,4103,2013-04-12,4,12,4,2013,15,,,,12.0
0.0,0.0,8.0,10.0,4103,tbd,4103,2013-04-13,5,13,4,2013,15,,,,18.0
2.0,0.0,4.0,12.0,4103,tbd,4103,2013-04-14,6,14,4,2013,15,,,,18.0
4.0,2.0,18.0,10.0,4103,tbd,4103,2013-04-15,0,15,4,2013,16,,,,34.0
2.0,0.0,0.0,4.0,4103,tbd,4103,2013-04-16,1,16,4,2013,16,,,,6.0
4.0,3.0,2.0,7.0,4103,tbd,4103,2013-04-17,2,17,4,2013,16,,,,16.0
2.0,6.0,4.0,6.0,4103,tbd,4103,2013-04-18,3,18,4,2013,16,,,,18.0
0.0,2.0,12.0,10.0,4103,tbd,4103,2013-04-19,4,19,4,2013,16,,,,24.0
6.0,0.0,17.0,5.0,4103,tbd,4103,2013-04-20,5,20,4,2013,16,,,,28.0
6.0,0.0,6.0,0.0,4103,tbd,4103,2013-04-21,6,21,4,2013,16,,,,12.0
2.0,0.0,6.0,7.0,4103,tbd,4103,2013-04-22,0,22,4,2013,17,,,,15.0
4.0,0.0,0.0,6.0,4103,tbd,4103,2013-04-23,1,23,4,2013,17,,,,10.0
2.0,3.0,4.0,6.0,4103,tbd,4103,2013-04-24,2,24,4,2013,17,,,,15.0
12.0,0.0,0.0,6.0,4103,tbd,4103,2013-04-25,3,25,4,2013,17,,,,18.0
6.0,4.0,11.0,11.0,4103,tbd,4103,2013-04-26,4,26,4,2013,17,,,,32.0
0.0,1.0,11.0,8.0,4103,tbd,4103,2013-04-27,5,27,4,2013,17,,,,20.0
5.0,1.0,13.0,2.0,4103,tbd,4103,2013-04-28,6,28,4,2013,17,,,,21.0
2.0,0.0,0.0,13.0,4103,tbd,4103,2013-04-29,0,29,4,2013,18,3.0,-1.0,1.0,15.0
6.0,2.0,10.0,0.0,4103,tbd,4103,2013-04-30,1,30,4,2013,18,3.0,-1.0,1.0,18.0
14.0,0.0,4.0,0.0,4103,tbd,4103,2013-05-01,2,1,5,2013,18,3.0,-1.0,1.0,18.0
12.0,4.0,8.0,3.0,4103,tbd,4103,2013-05-02,3,2,5,2013,18,,,,27.0
6.0,7.0,0.0,12.0,4103,tbd,4103,2013-05-03,4,3,5,2013,18,,,,25.0
2.0,0.0,2.0,4.0,4103,tbd,4103,2013-05-04,5,4,5,2013,18,,,,8.0
11.0,0.0,19.0,0.0,4103,tbd,4103,2013-05-05,6,5,5,2013,18,,,,30.0
14.0,8.0,13.0,2.0,4103,tbd,4103,2013-05-06,0,6,5,2013,19,,,,37.0
2.0,2.0,10.0,5.0,4103,tbd,4103,2013-05-07,1,7,5,2013,19,,,,19.0
8.0,0.0,5.0,5.0,4103,tbd,4103,2013-05-08,2,8,5,2013,19,,,,18.0
2.0,0.0,2.0,5.0,4103,tbd,4103,2013-05-09,3,9,5,2013,19,,,,9.0
12.0,4.0,12.0,2.0,4103,tbd,4103,2013-05-10,4,10,5,2013,19,,,,30.0
6.0,0.0,6.0,4.0,4103,tbd,4103,2013-05-11,5,11,5,2013,19,,,,16.0
5.0,4.0,2.0,11.0,4103,tbd,4103,2013-05-12,6,12,5,2013,19,,,,22.0
2.0,0.0,7.0,6.0,4103,tbd,4103,2013-05-13,0,13,5,2013,20,,,,15.0
9.0,0.0,8.0,5.0,4103,tbd,4103,2013-05-14,1,14,5,2013,20,,,,22.0
2.0,0.0,4.0,10.0,4103,tbd,4103,2013-05-15,2,15,5,2013,20,,,,16.0
0.0,0.0,6.0,0.0,4103,tbd,4103,2013-05-16,3,16,5,2013,20,,,,6.0
10.5,0.0,10.0,8.0,4103,tbd,4103,2013-05-17,4,17,5,2013,20,,,,28.5
5.5,2.0,0.0,5.0,4103,tbd,4103,2013-05-18,5,18,5,2013,20,,,,12.5
2.0,16.0,8.0,0.0,4103,tbd,4103,2013-05-19,6,19,5,2013,20,,,,26.0
0.0,2.0,2.0,10.0,4103,tbd,4103,2013-05-20,0,20,5,2013,21,,,,14.0
4.0,4.0,3.0,17.0,4103,tbd,4103,2013-05-21,1,21,5,2013,21,,,,28.0
2.0,2.0,2.0,8.0,4103,tbd,4103,2013-05-22,2,22,5,2013,21,,,,14.0
4.0,0.0,10.0,8.0,4103,tbd,4103,2013-05-23,3,23,5,2013,21,,,,22.0
9.0,0.0,10.0,11.0,4103,tbd,4103,2013-05-24,4,24,5,2013,21,,,,30.0
0.0,0.0,22.0,12.0,4103,tbd,4103,2013-05-25,5,25,5,2013,21,,,,34.0
7.0,0.0,7.5,10.0,4103,tbd,4103,2013-05-26,6,26,5,2013,21,,,,24.5
7.0,0.0,3.0,5.0,4103,tbd,4103,2013-05-27,0,27,5,2013,22,,,,15.0
4.0,0.0,6.0,9.0,4103,tbd,4103,2013-05-28,1,28,5,2013,22,,,,19.0
2.0,0.0,4.0,11.5,4103,tbd,4103,2013-05-29,2,29,5,2013,22,,,,17.5
2.0,0.0,24.0,7.0,4103,tbd,4103,2013-05-30,3,30,5,2013,22,,,,33.0
8.0,0.0,6.0,6.5,4103,tbd,4103,2013-05-31,4,31,5,2013,22,,,,20.5
0.0,0.0,0.0,1.5,4103,tbd,4103,2013-06-01,5,1,6,2013,22,,,,1.5
0.0,0.0,8.0,3.5,4103,tbd,4103,2013-06-02,6,2,6,2013,22,,,,11.5
6.0,4.0,4.0,0.0,4103,tbd,4103,2013-06-03,0,3,6,2013,23,,,,14.0
0.0,2.0,2.0,7.5,4103,tbd,4103,2013-06-04,1,4,6,2013,23,,,,11.5
10.0,1.5,2.0,2.0,4103,tbd,4103,2013-06-05,2,5,6,2013,23,,,,15.5
0.0,0.0,0.0,16.0,4103,tbd,4103,2013-06-06,3,6,6,2013,23,,,,16.0
8.0,6.0,8.0,5.0,4103,tbd,4103,2013-06-07,4,7,6,2013,23,,,,27.0
4.0,2.0,0.0,8.0,4103,tbd,4103,2013-06-08,5,8,6,2013,23,,,,14.0
6.0,8.0,20.5,9.0,4103,tbd,4103,2013-06-09,6,9,6,2013,23,,,,43.5
6.0,3.0,18.0,8.0,4103,tbd,4103,2013-06-10,0,10,6,2013,24,3.0,-1.0,1.0,35.0
4.0,0.0,13.0,1.0,4103,tbd,4103,2013-06-11,1,11,6,2013,24,3.0,-1.0,1.0,18.0
4.0,0.0,2.0,12.5,4103,tbd,4103,2013-06-12,2,12,6,2013,24,3.0,-1.0,1.0,18.5
2.0,0.0,1.0,9.5,4103,tbd,4103,2013-06-13,3,13,6,2013,24,,,,12.5
7.0,0.0,0.0,6.0,4103,tbd,4103,2013-06-14,4,14,6,2013,24,,,,13.0
2.0,0.0,6.0,4.5,4103,tbd,4103,2013-06-15,5,15,6,2013,24,,,,12.5
0.0,6.0,0.0,1.5,4103,tbd,4103,2013-06-16,6,16,6,2013,24,,,,7.5
4.0,0.0,6.0,3.0,4103,tbd,4103,2013-06-17,0,17,6,2013,25,,,,13.0
0.0,0.0,0.0,6.0,4103,tbd,4103,2013-06-18,1,18,6,2013,25,,,,6.0
6.0,3.0,3.0,4.0,4103,tbd,4103,2013-06-19,2,19,6,2013,25,,,,16.0
10.0,6.0,8.0,2.0,4103,tbd,4103,2013-06-20,3,20,6,2013,25,,,,26.0
8.0,22.0,2.0,10.0,4103,tbd,4103,2013-06-21,4,21,6,2013,25,,,,42.0
10.0,0.0,2.0,2.0,4103,tbd,4103,2013-06-22,5,22,6,2013,25,,,,14.0
2.0,0.0,1.0,0.0,4103,tbd,4103,2013-06-23,6,23,6,2013,25,,,,3.0
2.0,0.0,8.0,6.0,4103,tbd,4103,2013-06-24,0,24,6,2013,26,,,,16.0
2.0,2.0,8.0,10.0,4103,tbd,4103,2013-06-25,1,25,6,2013,26,,,,22.0
0.0,0.0,4.0,3.5,4103,tbd,4103,2013-06-26,2,26,6,2013,26,,,,7.5
2.0,4.0,2.0,11.0,4103,tbd,4103,2013-06-27,3,27,6,2013,26,,,,19.0
4.0,0.0,2.0,5.0,4103,tbd,4103,2013-06-28,4,28,6,2013,26,,,,11.0
0.0,7.5,7.0,4.0,4103,tbd,4103,2013-06-29,5,29,6,2013,26,,,,18.5
0.0,2.0,2.0,0.0,4103,tbd,4103,2013-06-30,6,30,6,2013,26,,,,4.0
6.0,0.0,0.0,5.0,4103,tbd,4103,2013-07-01,0,1,7,2013,27,,,,11.0
0.0,0.0,8.0,0.0,4103,tbd,4103,2013-07-02,1,2,7,2013,27,,,,8.0
6.0,0.0,2.0,11.0,4103,tbd,4103,2013-07-03,2,3,7,2013,27,,,,19.0
2.0,0.0,0.0,6.0,4103,tbd,4103,2013-07-04,3,4,7,2013,27,,,,8.0
14.0,2.0,0.0,7.0,4103,tbd,4103,2013-07-05,4,5,7,2013,27,,,,23.0
0.0,0.0,2.0,2.0,4103,tbd,4103,2013-07-06,5,6,7,2013,27,,,,4.0
4.0,8.0,5.5,12.0,4103,tbd,4103,2013-07-07,6,7,7,2013,27,,,,29.5
0.0,6.0,4.0,4.0,4103,tbd,4103,2013-07-08,0,8,7,2013,28,,,,14.0
0.0,4.0,12.0,9.0,4103,tbd,4103,2013-07-09,1,9,7,2013,28,,,,25.0
6.0,0.0,6.0,11.0,4103,tbd,4103,2013-07-10,2,10,7,2013,28,,,,23.0
2.0,0.0,4.0,7.0,4103,tbd,4103,2013-07-11,3,11,7,2013,28,,,,13.0
2.0,0.0,12.0,6.0,4103,tbd,4103,2013-07-12,4,12,7,2013,28,,,,20.0
4.0,0.0,14.0,2.0,4103,tbd,4103,2013-07-13,5,13,7,2013,28,,,,20.0
8.0,0.0,6.0,0.0,4103,tbd,4103,2013-07-14,6,14,7,2013,28,,,,14.0
2.0,0.0,7.0,6.0,4103,tbd,4103,2013-07-15,0,15,7,2013,29,,,,15.0
6.0,0.0,6.0,4.0,4103,tbd,4103,2013-07-16,1,16,7,2013,29,,,,16.0
4.0,2.0,0.0,0.0,4103,tbd,4103,2013-07-17,2,17,7,2013,29,,,,6.0
13.0,0.0,4.0,7.0,4103,tbd,4103,2013-07-18,3,18,7,2013,29,,,,24.0
9.5,0.0,2.0,7.0,4103,tbd,4103,2013-07-19,4,19,7,2013,29,,,,18.5
13.5,0.0,6.0,2.0,4103,tbd,4103,2013-07-20,5,20,7,2013,29,,,,21.5
8.0,0.0,8.0,2.0,4103,tbd,4103,2013-07-21,6,21,7,2013,29,,,,18.0
13.0,0.0,3.5,9.0,4103,tbd,4103,2013-07-22,0,22,7,2013,30,,,,25.5
6.0,0.0,7.5,2.0,4103,tbd,4103,2013-07-23,1,23,7,2013,30,,,,15.5
2.0,0.0,20.0,2.0,4103,tbd,4103,2013-07-24,2,24,7,2013,30,,,,24.0
10.0,5.5,18.0,12.0,4103,tbd,4103,2013-07-25,3,25,7,2013,30,,,,45.5
14.0,6.0,3.0,6.5,4103,tbd,4103,2013-07-26,4,26,7,2013,30,,,,29.5
6.0,3.5,0.0,4.0,4103,tbd,4103,2013-07-27,5,27,7,2013,30,,,,13.5
9.5,6.0,4.0,0.0,4103,tbd,4103,2013-07-28,6,28,7,2013,30,,,,19.5
26.0,0.0,0.0,6.0,4103,tbd,4103,2013-07-29,0,29,7,2013,31,,,,32.0
6.0,3.0,0.0,16.0,4103,tbd,4103,2013-07-30,1,30,7,2013,31,,,,25.0
4.0,0.0,8.0,3.0,4103,tbd,4103,2013-07-31,2,31,7,2013,31,,,,15.0
6.0,0.0,1.5,2.0,4103,tbd,4103,2013-08-01,3,1,8,2013,31,,,,9.5
1.0,0.0,4.0,0.0,4103,tbd,4103,2013-08-02,4,2,8,2013,31,,,,5.0
0.0,0.0,2.0,10.0,4103,tbd,4103,2013-08-03,5,3,8,2013,31,,,,12.0
2.0,0.0,4.0,9.0,4103,tbd,4103,2013-08-04,6,4,8,2013,31,,,,15.0
0.0,2.0,0.0,6.0,4103,tbd,4103,2013-08-05,0,5,8,2013,32,,,,8.0
4.0,0.0,3.5,4.5,4103,tbd,4103,2013-08-06,1,6,8,2013,32,,,,12.0
0.0,0.0,5.5,3.5,4103,tbd,4103,2013-08-07,2,7,8,2013,32,,,,9.0
4.0,0.0,7.0,9.5,4103,tbd,4103,2013-08-08,3,8,8,2013,32,,,,20.5
0.0,0.0,4.0,10.0,4103,tbd,4103,2013-08-09,4,9,8,2013,32,,,,14.0
4.0,2.0,2.0,6.0,4103,tbd,4103,2013-08-10,5,10,8,2013,32,,,,14.0
5.5,0.0,0.0,0.0,4103,tbd,4103,2013-08-11,6,11,8,2013,32,,,,5.5
16.0,3.0,2.0,2.0,4103,tbd,4103,2013-08-12,0,12,8,2013,33,,,,23.0
24.0,0.0,6.0,6.0,4103,tbd,4103,2013-08-13,1,13,8,2013,33,,,,36.0
9.0,8.5,6.0,16.0,4103,tbd,4103,2013-08-14,2,14,8,2013,33,,,,39.5
10.0,0.0,10.0,6.0,4103,tbd,4103,2013-08-15,3,15,8,2013,33,,,,26.0
0.0,2.0,14.0,16.0,4103,tbd,4103,2013-08-16,4,16,8,2013,33,,,,32.0
2.0,2.0,8.0,4.0,4103,tbd,4103,2013-08-17,5,17,8,2013,33,,,,16.0
2.0,4.0,6.0,0.0,4103,tbd,4103,2013-08-18,6,18,8,2013,33,,,,12.0
6.0,4.0,13.0,2.0,4103,tbd,4103,2013-08-19,0,19,8,2013,34,,,,25.0
8.0,0.0,6.0,0.0,4103,tbd,4103,2013-08-20,1,20,8,2013,34,,,,14.0
2.0,2.0,4.0,4.0,4103,tbd,4103,2013-08-21,2,21,8,2013,34,,,,12.0
8.0,2.0,10.0,2.0,4103,tbd,4103,2013-08-22,3,22,8,2013,34,,,,22.0
6.0,4.0,6.0,2.0,4103,tbd,4103,2013-08-23,4,23,8,2013,34,,,,18.0
2.0,0.0,2.0,0.0,4103,tbd,4103,2013-08-24,5,24,8,2013,34,,,,4.0
0.0,0.0,10.0,2.0,4103,tbd,4103,2013-08-25,6,25,8,2013,34,,,,12.0
12.0,0.0,4.0,12.0,4103,tbd,4103,2013-08-26,0,26,8,2013,35,,,,28.0
0.0,0.0,2.0,2.0,4103,tbd,4103,2013-08-27,1,27,8,2013,35,,,,4.0
4.0,0.0,0.0,3.0,4103,tbd,4103,2013-08-28,2,28,8,2013,35,,,,7.0
8.0,0.0,4.0,0.0,4103,tbd,4103,2013-08-29,3,29,8,2013,35,,,,12.0
6.0,0.0,8.0,0.0,4103,tbd,4103,2013-08-30,4,30,8,2013,35,,,,14.0
2.0,0.0,8.0,10.0,4103,tbd,4103,2013-08-31,5,31,8,2013,35,,,,20.0
16.0,0.0,2.0,6.0,4103,tbd,4103,2013-09-01,6,1,9,2013,35,,,,24.0
16.0,3.0,16.5,18.0,4103,tbd,4103,2013-09-02,0,2,9,2013,36,,,,53.5
2.0,2.0,8.0,8.0,4103,tbd,4103,2013-09-03,1,3,9,2013,36,,,,20.0
4.0,2.0,19.0,0.0,4103,tbd,4103,2013-09-04,2,4,9,2013,36,,,,25.0
4.0,2.0,6.0,4.0,4103,tbd,4103,2013-09-05,3,5,9,2013,36,,,,16.0
10.0,10.0,19.0,2.0,4103,tbd,4103,2013-09-06,4,6,9,2013,36,,,,41.0
0.0,3.0,6.0,4.0,4103,tbd,4103,2013-09-07,5,7,9,2013,36,,,,13.0
4.0,0.0,17.0,2.0,4103,tbd,4103,2013-09-08,6,8,9,2013,36,,,,23.0
0.0,2.0,2.0,5.0,4103,tbd,4103,2013-09-09,0,9,9,2013,37,,,,9.0
8.0,6.0,0.0,4.0,4103,tbd,4103,2013-09-10,1,10,9,2013,37,,,,18.0
0.0,4.0,8.0,3.0,4103,tbd,4103,2013-09-11,2,11,9,2013,37,,,,15.0
8.0,0.0,6.0,0.0,4103,tbd,4103,2013-09-12,3,12,9,2013,37,,,,14.0
7.5,0.0,12.0,6.0,4103,tbd,4103,2013-09-13,4,13,9,2013,37,,,,25.5
3.0,0.0,4.0,8.0,4103,tbd,4103,2013-09-14,5,14,9,2013,37,,,,15.0
3.5,2.0,2.0,6.0,4103,tbd,4103,2013-09-15,6,15,9,2013,37,,,,13.5
4.0,0.0,2.0,23.5,4103,tbd,4103,2013-09-16,0,16,9,2013,38,,,,29.5
5.5,6.0,14.0,4.0,4103,tbd,4103,2013-09-17,1,17,9,2013,38,,,,29.5
2.0,12.0,7.0,2.0,4103,tbd,4103,2013-09-18,2,18,9,2013,38,,,,23.0
8.0,4.0,7.0,23.0,4103,tbd,4103,2013-09-19,3,19,9,2013,38,3.0,-1.0,1.0,42.0
2.0,0.0,4.0,9.5,4103,tbd,4103,2013-09-20,4,20,9,2013,38,3.0,-1.0,1.0,15.5
3.0,0.0,17.5,6.0,4103,tbd,4103,2013-09-21,5,21,9,2013,38,3.0,-1.0,1.0,26.5
0.0,0.0,3.5,4.0,4103,tbd,4103,2013-09-22,6,22,9,2013,38,,,,7.5
0.0,4.0,6.0,22.5,4103,tbd,4103,2013-09-23,0,23,9,2013,39,,,,32.5
4.0,4.0,1.5,28.0,4103,tbd,4103,2013-09-24,1,24,9,2013,39,,,,37.5
2.0,2.0,8.0,7.5,4103,tbd,4103,2013-09-25,2,25,9,2013,39,,,,19.5
